Column1,Column2,Column3,Column4
1.0,119.0,1.0,0.0
2.0,119.0,1.0,0.0
3.0,119.0,1.0,0.0
4.0,119.0,1.0,0.0
5.0,119.0,1.0,0.0
6.0,119.0,1.0,0.0
7.0,119.0,1.0,0.0
8.0,119.0,1.0,0.0
9.0,118.98,1.02,0.0
10.0,118.98,1.02,0.0
11.0,118.98,1.02,0.0
12.0,118.96,1.04,0.0
13.0,118.96,1.04,0.0
14.0,118.96,1.04,0.0
15.0,118.96,1.04,0.0
16.0,118.94,1.06,0.0
17.0,118.92,1.08,0.0
18.0,118.92,1.08,0.0
19.0,118.92,1.08,0.0
20.0,118.92,1.08,0.0
21.0,118.92,1.08,0.0
22.0,118.9,1.1,0.0
23.0,118.9,1.1,0.0
24.0,118.9,1.1,0.0
25.0,118.9,1.1,0.0
26.0,118.9,1.1,0.0
27.0,118.9,1.1,0.0
28.0,118.88,1.12,0.0
29.0,118.88,1.12,0.0
30.0,118.88,1.12,0.0
31.0,118.88,1.12,0.0
32.0,118.88,1.12,0.0
33.0,118.88,1.12,0.0
34.0,118.88,1.12,0.0
35.0,118.88,1.12,0.0
36.0,118.88,1.12,0.0
37.0,118.88,1.12,0.0
38.0,118.88,1.12,0.0
39.0,118.88,1.12,0.0
40.0,118.88,1.12,0.0
41.0,118.88,1.12,0.0
42.0,118.88,1.12,0.0
43.0,118.88,1.12,0.0
44.0,118.88,1.12,0.0
45.0,118.88,1.12,0.0
46.0,118.88,1.12,0.0
47.0,118.88,1.12,0.0
48.0,118.88,1.12,0.0
49.0,118.88,1.12,0.0
50.0,118.88,1.12,0.0
51.0,118.86,1.14,0.0
52.0,118.86,1.14,0.0
53.0,118.86,1.14,0.0
54.0,118.82,1.18,0.0
55.0,118.82,1.18,0.0
56.0,118.82,1.16,0.02
57.0,118.8,1.18,0.02
58.0,118.78,1.2,0.02
59.0,118.78,1.2,0.02
60.0,118.78,1.2,0.02
61.0,118.76,1.22,0.02
62.0,118.76,1.22,0.02
63.0,118.76,1.2,0.04
64.0,118.74,1.22,0.04
65.0,118.74,1.22,0.04
66.0,118.74,1.22,0.04
67.0,118.74,1.22,0.04
68.0,118.74,1.22,0.04
69.0,118.74,1.22,0.04
70.0,118.74,1.22,0.04
71.0,118.74,1.22,0.04
72.0,118.74,1.22,0.04
73.0,118.72,1.24,0.04
74.0,118.7,1.26,0.04
75.0,118.7,1.26,0.04
76.0,118.68,1.28,0.04
77.0,118.68,1.28,0.04
78.0,118.68,1.28,0.04
79.0,118.66,1.3,0.04
80.0,118.66,1.3,0.04
81.0,118.66,1.3,0.04
82.0,118.66,1.3,0.04
83.0,118.64,1.32,0.04
84.0,118.64,1.32,0.04
85.0,118.6,1.36,0.04
86.0,118.6,1.36,0.04
87.0,118.56,1.4,0.04
88.0,118.56,1.4,0.04
89.0,118.56,1.4,0.04
90.0,118.56,1.4,0.04
91.0,118.54,1.42,0.04
92.0,118.5,1.46,0.04
93.0,118.5,1.46,0.04
94.0,118.5,1.46,0.04
95.0,118.48,1.48,0.04
96.0,118.48,1.48,0.04
